evaluations raw_y
1 -167.0000000000
69 -154.0000000000
90 -147.0000000000
91 -134.0000000000
171 -122.0000000000
192 -121.0000000000
194 -95.0000000000
200 -61.0000000000
295 -42.0000000000
309 -8.0000000000
472 -2.0000000000
487 3.0000000000
578 5.0000000000
1014 6.0000000000
2144 7.0000000000
5010 -40.0000000000
evaluations raw_y
1 -450.0000000000
2 -416.0000000000
4 -288.0000000000
35 -154.0000000000
101 -148.0000000000
122 -134.0000000000
151 -115.0000000000
162 -114.0000000000
204 -88.0000000000
210 -68.0000000000
220 -61.0000000000
267 -55.0000000000
290 -48.0000000000
327 -47.0000000000
331 -42.0000000000
374 -29.0000000000
432 -18.0000000000
465 -16.0000000000
481 -10.0000000000
522 -4.0000000000
554 -3.0000000000
610 -2.0000000000
656 3.0000000000
722 4.0000000000
860 5.0000000000
2912 6.0000000000
5010 -8.0000000000
evaluations raw_y
1 -362.0000000000
5 -315.0000000000
12 -275.0000000000
36 -255.0000000000
39 -242.0000000000
63 -161.0000000000
120 -155.0000000000
166 -133.0000000000
171 -101.0000000000
200 -75.0000000000
259 -55.0000000000
280 -35.0000000000
371 -15.0000000000
509 -8.0000000000
616 -4.0000000000
642 3.0000000000
1019 4.0000000000
1282 5.0000000000
1920 6.0000000000
3931 7.0000000000
5010 -27.0000000000
evaluations raw_y
1 -497.0000000000
3 -444.0000000000
4 -369.0000000000
10 -363.0000000000
11 -329.0000000000
16 -221.0000000000
61 -194.0000000000
96 -188.0000000000
109 -181.0000000000
121 -148.0000000000
128 -147.0000000000
163 -127.0000000000
172 -94.0000000000
185 -88.0000000000
214 -87.0000000000
303 -81.0000000000
308 -74.0000000000
331 -54.0000000000
336 -41.0000000000
427 -15.0000000000
512 -8.0000000000
730 4.0000000000
872 5.0000000000
5010 -22.0000000000
evaluations raw_y
1 -376.0000000000
2 -302.0000000000
7 -241.0000000000
45 -221.0000000000
62 -175.0000000000
94 -169.0000000000
110 -168.0000000000
112 -148.0000000000
117 -127.0000000000
124 -114.0000000000
127 -95.0000000000
166 -81.0000000000
184 -74.0000000000
201 -62.0000000000
217 -61.0000000000
237 -41.0000000000
249 -34.0000000000
264 -16.0000000000
300 -8.0000000000
310 -2.0000000000
546 4.0000000000
995 5.0000000000
1484 6.0000000000
5010 -34.0000000000
evaluations raw_y
1 -497.0000000000
2 -189.0000000000
31 -181.0000000000
74 -162.0000000000
93 -161.0000000000
101 -155.0000000000
106 -149.0000000000
120 -142.0000000000
130 -141.0000000000
177 -122.0000000000
182 -115.0000000000
200 -95.0000000000
235 -81.0000000000
241 -41.0000000000
310 -35.0000000000
357 -21.0000000000
378 -15.0000000000
625 -9.0000000000
646 -4.0000000000
665 -3.0000000000
711 3.0000000000
769 4.0000000000
841 5.0000000000
5010 -41.0000000000
evaluations raw_y
1 -275.0000000000
18 -195.0000000000
41 -161.0000000000
69 -154.0000000000
111 -127.0000000000
142 -81.0000000000
236 -74.0000000000
252 -48.0000000000
328 -29.0000000000
331 -22.0000000000
342 -3.0000000000
