evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
44 1.8355359765
152 1.9500780031
168 2.0525451560
189 2.1367521368
207 2.2281639929
557 2.3992322457
1548 2.4752475248
1637 2.7839643653
5000 1.4188422247
evaluations raw_y
1 0.9520182788
3 1.2100677638
5 1.2291052114
7 1.4318442153
9 2.0525451560
126 2.1663778163
129 2.3277467412
320 2.3992322457
466 2.5150905433
710 2.7352297593
858 2.9976019185
2190 3.1806615776
4036 3.5410764873
5000 0.9238728751
evaluations raw_y
1 1.4723203769
22 1.9025875190
76 2.0259319287
131 2.0798668885
327 2.1079258010
336 2.1367521368
441 3.0562347188
1628 3.2467532468
2133 3.4626038781
3970 3.9936102236
5000 2.5150905433
evaluations raw_y
1 1.6778523490
3 1.9025875190
4 1.9747235387
127 2.3992322457
708 2.7839643653
741 2.9411764706
1316 3.8940809969
5000 1.1394712853
evaluations raw_y
1 1.6425755585
9 1.8142235123
16 1.9025875190
36 2.6881720430
379 2.8344671202
627 2.9976019185
770 3.3875338753
1009 3.4626038781
5000 1.2487512488
evaluations raw_y
1 0.8922198430
2 1.5923566879
26 1.9500780031
168 1.9747235387
178 2.1663778163
196 2.2603978300
350 2.4366471735
799 2.5150905433
1637 2.5987525988
2423 2.7352297593
2704 2.8344671202
2841 2.8868360277
2842 3.3156498674
3824 3.5410764873
5000 1.0766580534
evaluations raw_y
1 1.2794268168
3 1.6778523490
19 2.2603978300
171 2.6881720430
754 2.9411764706
1214 3.1806615776
1339 3.4626038781
2458 3.7993920973
5000 1.1563367253
evaluations raw_y
1 0.7543753772
2 1.6425755585
4 1.6600265604
31 1.8355359765
55 2.3629489603
127 2.9411764706
397 3.0562347188
616 3.7993920973
3482 3.9936102236
5000 1.7730496454
evaluations raw_y
1 0.8486082824
2 1.4585764294
6 1.4723203769
7 1.6600265604
8 1.6778523490
23 1.9025875190
28 2.3277467412
183 2.3992322457
306 2.4366471735
672 2.5150905433
1616 2.6427061311
2430 2.7839643653
2562 3.3156498674
5000 1.4863258026
evaluations raw_y
1 0.9637625289
4 1.1312217195
6 1.1394712853
7 1.7146776406
88 2.1367521368
97 2.1968365554
106 2.2603978300
456 2.3277467412
633 2.3992322457
844 2.4366471735
1189 2.5987525988
1247 2.7839643653
1783 2.9411764706
3294 3.1806615776
5000 1.3007284079
