evaluations raw_y
1 29.6058786158
2 18.8529424291
3 9.8894905784
612 4.8843849003
614 4.4895264688
623 4.3986246723
637 2.1213097836
679 2.0268713631
698 1.8395691690
704 1.6159896600
1317 0.8911735115
1344 0.4207763075
1371 0.2721042128
2036 0.0397331077
2711 0.0218142250
3428 0.0194698835
3432 0.0125361878
3492 0.0084382335
3500 0.0330087105
evaluations raw_y
1 38.3997153116
3 23.5632127745
5 21.3231730558
7 7.6966132193
633 1.4223763608
1327 0.8490922388
2025 0.7941242367
2026 0.3511898346
2097 0.1362922371
2723 0.1348290951
2732 0.1296655685
2764 0.1156251194
3417 0.1154920126
3424 0.0564822714
3454 0.0424605614
3472 0.0205826336
3500 0.1865400254
evaluations raw_y
1 81.1465600984
2 60.5756109036
3 19.9915678058
7 19.4700659191
612 12.7534273085
615 11.9171747543
619 11.5848542704
622 7.0740468167
652 3.7419375683
1313 3.2423923182
1350 2.5503355271
1351 1.8531142422
1368 1.3473381555
2022 0.5879102077
2066 0.1270062152
3424 0.0972391843
3461 0.0860729174
3481 0.0652012620
3500 0.3757126201
evaluations raw_y
1 55.5803659693
2 21.2885088703
612 11.4588700436
627 7.5606137126
630 4.7967100119
641 4.2948647167
648 3.6291732629
656 2.3016412433
1324 0.6096599757
1362 0.5070091103
2026 0.2817153886
2057 0.2542920256
2090 0.1662816579
2720 0.0340020053
2801 0.0227820782
3412 0.0171461902
3500 2.2509677242
evaluations raw_y
1 38.5064050737
3 21.3042471868
4 16.4355964823
612 11.0055465030
614 6.3188811815
620 4.8993398436
674 1.8477946117
1337 1.0597649573
1362 0.4525730154
2047 0.4032401288
2048 0.3632050672
2058 0.2830873675
2714 0.1950651758
2744 0.1319917148
2761 0.1115943259
3414 0.1088707019
3415 0.0637154464
3417 0.0635181293
3421 0.0596627189
3429 0.0362700928
3477 0.0300107261
3500 0.1705733253
evaluations raw_y
1 21.9611498459
6 21.3713945869
614 11.2563326254
619 11.0857120537
628 10.4715561043
629 5.2673197901
634 4.8221990390
636 0.7596836361
1334 0.2342071396
1382 0.1632750148
2748 0.0346309190
3426 0.0159538989
3500 2.0225382223
evaluations raw_y
1 39.5728036414
5 32.8354912077
611 31.5149962227
613 24.4540673484
616 14.9927187364
618 9.0390573403
622 4.9264205713
635 3.8929783532
638 3.6052039876
1313 2.0722246637
1349 1.5476772955
1380 1.2602774794
1381 1.1988062635
2013 0.9731872494
2017 0.7978176663
2032 0.4671354231
2053 0.3951247353
2100 0.2925255675
2731 0.1720482169
2790 0.0953627217
3486 0.0535784669
3500 7.6978559110
evaluations raw_y
1 59.8179061509
2 26.6463138015
3 25.0870112130
7 23.2061127793
10 18.8881078495
614 11.6752414409
615 9.9899572155
618 7.5080672412
627 2.4697552318
631 2.4633504386
639 2.3851978494
647 1.4285421246
1335 0.8435596441
1381 0.5474560668
1388 0.5388157195
1390 0.2333457543
2011 0.1430454137
2717 0.0895847519
2740 0.0658088342
2758 0.0528834088
3417 0.0168773527
3477 0.0050155284
3500 0.1459653948
evaluations raw_y
1 36.7262944202
2 32.4107362316
8 29.7204091893
612 10.2566390457
648 7.7803156369
663 7.0332640042
665 5.7967961272
702 1.9967900751
1342 1.3121103074
2024 0.5917692654
2043 0.5111404665
2711 0.4606463542
2717 0.3638345643
2769 0.2656801240
2775 0.1885844001
3432 0.1249275731
3500 26.3561992160
evaluations raw_y
1 57.0902962232
2 52.0237510317
4 44.9689458844
5 36.9940870586
6 24.5200698449
7 14.4076102663
613 6.1117008708
621 3.7010444965
629 2.7356989122
641 2.3276663217
677 2.0836780202
688 0.8005090825
2016 0.5635493566
2025 0.4397855656
2054 0.3302247861
2716 0.2393068064
2726 0.2123467687
2768 0.1416228255
3413 0.1381671605
3432 0.1052415587
3500 1.2698517870
evaluations raw_y
1 39.1494720336
5 28.8201257016
8 19.2840402437
611 7.4348121284
621 3.0390805040
644 2.4590149451
672 1.5934436414
1311 0.5530423239
1336 0.4025195368
1368 0.0976222724
2062 0.0793711453
