evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
36 1.8355359765
41 2.2281639929
73 2.2935779817
91 2.9411764706
213 3.1172069825
697 3.1806615776
1182 3.2467532468
2380 3.3156498674
3396 3.3875338753
3961 3.6231884058
4479 6.2189054726
5010 1.5605493134
evaluations raw_y
1 0.9238728751
4 1.6254876463
14 1.9025875190
36 1.9747235387
108 2.1663778163
164 2.2281639929
229 2.2603978300
257 2.4752475248
445 2.5987525988
576 2.7352297593
592 2.7839643653
720 2.8344671202
734 3.0562347188
1073 3.2467532468
1125 3.7091988131
1663 3.7993920973
1783 4.5787545788
2477 5.0200803213
5010 2.0259319287
evaluations raw_y
1 1.1394712853
2 1.3572204126
3 1.3812154696
9 1.4450867052
13 2.0259319287
24 2.1663778163
100 2.2603978300
214 2.7839643653
390 3.1172069825
641 3.1806615776
838 3.3875338753
955 3.4626038781
1125 3.5410764873
1217 3.8940809969
1507 4.2087542088
5010 3.0562347188
evaluations raw_y
1 1.1916110582
6 1.2690355330
8 1.3007284079
10 1.8573551263
69 1.9260400616
91 1.9747235387
162 2.3277467412
186 2.3629489603
190 2.5562372188
638 3.0562347188
962 3.7993920973
5010 3.7993920973
evaluations raw_y
1 1.0008006405
2 1.2794268168
3 1.6425755585
12 1.8573551263
47 1.9500780031
59 2.0000000000
129 2.2603978300
145 2.4366471735
402 2.6881720430
623 3.0562347188
831 3.1806615776
1185 3.3156498674
1315 3.6231884058
1926 3.9936102236
2020 4.0983606557
2445 4.2087542088
5010 2.7352297593
evaluations raw_y
1 0.8922198430
2 0.9077705156
3 1.3935340022
4 1.6425755585
7 1.7730496454
21 1.9025875190
67 2.2603978300
175 2.4752475248
218 2.7352297593
464 2.7839643653
617 2.9411764706
1339 3.0562347188
1451 3.1172069825
1491 3.2467532468
1655 3.3156498674
1703 3.4626038781
1811 3.6231884058
2044 4.0983606557
2359 4.3252595156
3048 5.0200803213
5010 1.6778523490
evaluations raw_y
1 1.0339123242
4 1.5151515152
7 1.6425755585
15 2.0798668885
17 2.2603978300
126 2.4752475248
145 2.5987525988
291 2.6427061311
422 2.7839643653
454 2.8868360277
578 3.3875338753
2467 3.6231884058
3129 4.3252595156
5010 4.3252595156
evaluations raw_y
1 0.9184423218
3 1.4585764294
7 1.5762925599
14 1.8142235123
34 1.8796992481
126 2.0525451560
145 2.0798668885
291 2.3277467412
397 2.3992322457
489 2.4366471735
503 2.4752475248
560 2.5562372188
640 2.5987525988
661 3.0562347188
1379 3.1172069825
2153 3.3156498674
2195 3.4626038781
2735 4.0983606557
5010 1.7934002869
evaluations raw_y
1 0.8871540099
3 1.3227513228
4 1.4585764294
27 1.7531556802
32 1.7934002869
78 2.0000000000
130 2.1663778163
160 2.5562372188
472 2.9976019185
544 3.1172069825
1276 3.5410764873
1504 4.4483985765
5010 1.3691128149
evaluations raw_y
1 0.7768800497
3 0.9944311854
4 1.6087516088
28 1.8796992481
60 1.9260400616
237 2.3992322457
284 2.4366471735
290 2.7352297593
443 2.7839643653
568 2.9411764706
884 3.0562347188
960 3.1172069825
1050 3.1806615776
1659 3.2467532468
1784 3.3156498674
2051 3.7091988131
5010 1.4318442153
evaluations raw_y
1 1.7146776406
5 2.0259319287
103 2.1367521368
160 2.1663778163
170 2.5150905433
222 2.5987525988
301 2.6881720430
473 2.7839643653
493 2.8344671202
708 2.8868360277
748 3.3156498674
1621 3.3875338753
1663 3.4626038781
1677 3.5410764873
1864 3.6231884058
2399 3.8940809969
2950 4.2087542088
3118 4.7169811321
5010 2.9976019185
evaluations raw_y
1 0.7768800497
2 1.3812154696
6 1.6254876463
24 1.8355359765
84 2.1968365554
156 2.2935779817
253 2.4366471735
303 2.6881720430
590 2.7352297593
1066 2.8868360277
1222 3.7091988131
2903 3.7993920973
3649 3.8940809969
5010 1.7337031900
evaluations raw_y
1 0.6673785371
2 1.7337031900
61 1.9025875190
72 2.4366471735
194 2.5150905433
229 2.6427061311
472 2.7839643653
764 3.1172069825
1061 3.1806615776
1334 3.3156498674
1410 3.3875338753
2081 3.6231884058
5010 3.0562347188
evaluations raw_y
1 0.8674531575
3 1.1312217195
7 1.4060742407
8 1.4450867052
10 1.6960651289
23 1.7146776406
48 1.7337031900
75 2.0798668885
177 2.4366471735
500 2.5150905433
719 2.7352297593
763 3.0562347188
1025 3.2467532468
1520 3.4626038781
2118 3.5410764873
2775 3.7993920973
5010 1.1312217195
evaluations raw_y
1 1.0620220901
2 1.1916110582
3 1.3935340022
10 1.5151515152
37 1.6425755585
38 1.7337031900
45 1.9500780031
103 2.1663778163
174 2.2603978300
251 2.8344671202
365 2.8868360277
582 2.9976019185
927 3.1806615776
993 3.3875338753
1017 3.4626038781
1087 3.5410764873
1521 3.7091988131
2211 3.9936102236
2581 4.2087542088
5010 1.2007684918
evaluations raw_y
1 1.0008006405
2 1.6425755585
10 1.8355359765
42 1.9260400616
139 2.0259319287
191 2.1968365554
230 2.2281639929
232 2.3992322457
305 2.7352297593
784 2.7839643653
937 3.1172069825
969 3.1806615776
1221 3.2467532468
1571 3.3156498674
1871 3.3875338753
2255 3.6231884058
3316 3.8940809969
5010 2.1968365554
evaluations raw_y
1 0.9758001561
2 1.1394712853
7 1.6960651289
32 1.7337031900
68 1.7730496454
83 2.1079258010
95 2.6881720430
586 2.7352297593
693 2.8868360277
917 2.9411764706
1344 3.3875338753
2172 3.7993920973
3799 4.4483985765
5010 1.8796992481
evaluations raw_y
1 1.0008006405
2 1.1563367253
7 1.3340448239
8 1.3455328310
11 1.4188422247
16 1.5299877601
18 1.5762925599
37 1.6087516088
42 1.6960651289
56 1.8355359765
99 1.9260400616
189 1.9747235387
220 2.2603978300
323 2.4366471735
569 2.5562372188
586 2.6427061311
827 2.7352297593
884 2.7839643653
954 2.8868360277
1332 3.3875338753
2842 3.6231884058
3646 3.7993920973
4088 4.3252595156
5010 3.1172069825
evaluations raw_y
1 0.6971556051
2 1.1649580615
5 1.6087516088
8 1.6425755585
16 1.8355359765
52 2.0798668885
108 2.1079258010
238 2.1968365554
269 2.5150905433
356 2.7352297593
510 2.7839643653
661 2.9411764706
917 3.0562347188
1776 3.3156498674
3139 3.6231884058
3279 3.9936102236
5010 2.2935779817
evaluations raw_y
1 0.7926442613
2 0.9944311854
7 1.0407993339
8 1.1230907457
9 2.1968365554
160 2.3277467412
218 2.4752475248
389 2.5150905433
429 2.9411764706
628 3.2467532468
881 3.7091988131
5010 2.2281639929
